Seed,Red Giants,Yellow Giants,White Giants,Blue Giants
00137001,1,0,1,1
00137057,1,1,0,1
00137393,1,1,0,1
00137594,1,1,0,1
00139417,1,0,1,1
00139646,1,0,1,1
00140798,1,1,0,1
00141432,1,1,0,1
00141768,1,1,0,1
00142164,1,0,1,1
00142929,1,0,1,1
00143204,1,0,1,1
00143447,1,1,0,1
00145863,1,0,1,1
00147593,1,1,0,1
00147719,1,1,0,1
00148330,1,0,1,1
00148395,1,1,0,1
00148796,1,1,0,1
00149682,1,0,1,1
00149799,1,0,1,1
00149934,1,0,1,1
00150480,1,0,1,1
00151324,1,1,0,1
00152154,1,1,0,1
00153656,1,0,1,1
00153679,1,0,1,1
00154071,1,1,0,1
00154682,1,1,0,1
00154915,1,1,0,1
00155158,1,1,0,1
00155330,1,1,0,1
00155759,1,1,0,1
00157289,1,0,1,1
00159346,1,0,1,1
00162508,1,1,0,1
00162783,1,0,1,1
00164145,1,1,0,1
00164313,1,1,0,1
00165735,1,1,0,1
00166085,1,1,0,1
00166164,1,1,0,1
00166617,1,0,1,1
00166822,1,1,0,1
00167489,1,1,0,1
00167559,1,0,1,1
00168692,1,0,1,1
00169998,1,1,0,1
00170632,1,0,1,1
00171985,1,0,1,1
00172344,1,1,0,1
00172512,1,0,1,1
00172941,1,0,1,1
00174284,1,1,0,1
00174601,1,1,0,1
00174900,1,1,0,1
00174918,1,1,0,1
00176350,1,0,1,1
00177190,1,0,1,1
00178300,1,0,1,1
00178463,1,0,1,1
00178505,1,1,0,1
00179144,1,1,0,1
00180198,1,0,1,1
00181042,1,1,0,1
00181065,1,1,0,1
00181905,1,1,0,1
00182740,1,0,1,1
00183183,1,0,1,1
00183780,1,1,0,1
00184008,1,1,0,1
00184237,1,1,0,1
00184852,1,0,1,1
00185193,1,0,1,1
00185314,1,1,0,1
00185403,1,0,1,1
00187119,1,1,0,1
00187753,1,0,1,1
00188084,1,1,0,1
00189101,1,1,0,1
00189857,1,1,0,1
00190258,1,1,0,1
00192086,1,1,0,1
00192170,1,0,1,1
00192473,1,0,1,1
00192706,1,1,0,1
00192837,1,1,0,1
00192930,1,0,1,1
00193005,1,1,0,1
00193159,1,0,1,1
00194945,1,1,0,1
00195243,1,0,1,1
00195281,1,1,0,1
00195882,1,1,0,1
00198042,1,0,1,1
00198676,1,0,1,1
00198886,1,1,0,1
00198951,1,0,1,1
00200663,1,1,0,1
00201801,1,0,1,1
00202267,1,0,1,1
00203321,1,1,0,1
00204165,1,0,1,1
00205042,1,0,1,1
00205047,1,1,0,1
00206180,1,1,0,1
00207351,1,0,1,1
00207369,1,1,0,1
00209589,1,1,0,1
00209925,1,1,0,1
00210550,1,1,0,1
00211189,1,1,0,1
00211231,1,0,1,1
00212672,1,0,1,1
00213171,1,0,1,1
00213726,1,1,0,1
00214384,1,1,0,1
00214570,1,0,1,1
00214841,1,0,1,1
00215228,1,0,1,1
00216231,1,1,0,1
00216781,1,1,1,0
00217331,1,1,0,1
00218912,1,0,1,1
00220862,1,0,1,1
00221697,1,1,0,1
00222853,1,1,0,1
00223343,1,1,0,1
00223935,1,0,1,1
00225577,1,1,0,1
00226412,1,0,1,1
00227531,1,0,1,1
00227774,1,0,1,1
00228189,1,1,1,0
00228375,1,1,0,1
00228576,1,0,1,1
00228986,1,1,0,1
00229467,1,0,1,1
00230264,1,1,0,1
00230292,1,1,0,1
00230493,1,0,1,1
00230665,1,1,0,1
00231136,1,0,1,1
00232414,1,0,1,1
00233468,1,1,0,1
00233902,1,0,1,1
00234312,1,0,1,1
00234536,1,1,0,1
00236043,1,0,1,1
00236868,1,1,0,1
00238174,1,0,1,1
00238281,1,1,0,1
00238491,1,0,1,1
00238617,1,1,0,1
00241863,1,0,1,1
00243346,1,1,0,1
00243533,1,0,1,1
00244531,1,1,0,1
00245473,1,0,1,1
00246196,1,1,0,1
00248117,1,1,0,1
00248248,1,1,0,1
00248262,1,0,1,1
00249950,1,1,0,1
00250389,1,1,0,1
00250878,1,0,1,1
00252609,1,1,0,1
00254148,1,0,1,1
00254740,1,0,1,1
00255104,1,0,1,1
00255272,1,0,1,1
00256638,1,1,0,1
00256955,1,1,0,1
00259129,1,1,0,1
00261423,1,1,0,1
00262594,1,0,1,1
00262976,1,1,0,1
00263499,1,1,0,1
00264735,1,0,1,1
00265607,1,1,0,1
00265817,1,1,0,1
00266675,1,0,1,1
00267864,1,0,1,1
00269636,1,1,0,1
00270415,1,1,0,1
00272612,1,1,0,1
00273531,1,1,0,1
00274165,1,0,1,1
00274333,1,0,1,1
00274659,1,0,1,1
00276142,1,0,1,1
00276940,1,1,0,1
00277108,1,1,0,1
00280181,1,1,0,1
00281347,1,0,1,1
00281972,1,1,0,1
00282289,1,1,0,1
00283796,1,0,1,1
00283964,1,0,1,1
00284430,1,1,0,1
00285293,1,1,0,1
00285610,1,1,0,1
00285736,1,0,1,1
00287825,1,0,1,1
00288343,1,1,0,1
00288977,1,0,1,1
00290283,1,1,0,1
00290526,1,0,1,1
00291001,1,0,1,1
00292531,1,1,0,1
00292592,1,1,0,1
00293394,1,0,1,1
00294345,1,0,1,1
00295833,1,1,0,1
00296001,1,1,0,1
00298692,1,1,0,1
00298818,1,1,0,1
00299051,1,1,0,1
00300418,1,1,0,1
00300441,1,0,1,1
00300562,1,1,0,1
00300716,1,0,1,1
00303025,1,0,1,1
00304797,1,0,1,1
00305296,1,1,0,1
00305632,1,1,0,1
00305800,1,1,0,1
00306056,1,1,0,1
00306723,1,1,0,1
00310981,1,1,0,1
00311149,1,1,0,1
00311793,1,1,0,1
00311821,1,1,0,1
00312534,1,1,0,1
00314395,1,0,1,1
00314596,1,0,1,1
00314726,1,1,0,1
00314834,1,1,0,1
00317035,1,1,0,1
00318812,1,1,0,1
00318905,1,1,0,1
00318975,1,1,0,1
00319777,1,0,1,1
00320780,1,1,0,1
00322338,1,1,0,1
00322552,1,1,0,1
00322641,1,0,1,1
00323611,1,0,1,1
00324026,1,0,1,1
00324861,1,1,0,1
00325700,1,1,0,1
00325742,1,1,0,1
00328317,1,1,0,1
00329408,1,0,1,1
00330089,1,0,1,1
00330448,1,0,1,1
00331717,1,0,1,1
00333955,1,1,0,1
00334492,1,1,0,1
00334604,1,1,0,1
00334879,1,1,0,1
00336502,1,0,1,1
00336609,1,0,1,1
00337309,1,0,1,1
00338591,1,1,0,1
00339207,1,0,1,1
00339841,1,1,0,1
00340261,1,1,0,1
00340956,1,1,0,1
00341781,1,1,0,1
00343288,1,0,1,1
00343297,1,0,1,1
00346063,1,1,0,1
00346179,1,0,1,1
00348320,1,1,0,1
00348469,1,0,1,1
00348637,1,0,1,1
00348838,1,0,1,1
00350027,1,0,1,1
00350092,1,0,1,1
00351076,1,1,0,1
00351244,1,1,0,1
00351412,1,1,0,1
00352718,1,0,1,1
00352751,1,0,1,1
00353889,1,1,0,1
00355241,1,1,0,1
00358268,1,0,1,1
00359910,1,1,0,1
00361486,1,1,0,1
00362349,1,0,1,1
00362647,1,1,0,1
00363184,1,1,0,1
00363627,1,1,0,1
00364280,1,0,1,1
00366145,1,1,0,1
00366192,1,0,1,1
00367027,1,0,1,1
00367899,1,0,1,1
00367964,1,1,0,1
00368533,1,1,0,1
00371947,1,0,1,1
00372078,1,0,1,1
00372278,1,1,0,1
00373150,1,0,1,1
00374484,1,1,0,1
00374755,1,1,0,1
00375286,1,1,0,1
00377329,1,0,1,1
00377530,1,0,1,1
00379083,1,0,1,1
00379101,1,0,1,1
00379139,1,0,1,1
00379936,1,1,0,1
00381037,1,0,1,1
00381489,1,1,0,1
00382879,1,0,1,1
00383350,1,0,1,1
00385076,1,1,0,1
00386960,1,0,1,1
00387883,1,1,0,1
00390225,1,1,0,1
00390542,1,1,0,1
00390994,1,0,1,1
00392944,1,1,0,1
00392948,1,0,1,1
00393774,1,1,0,1
00393984,1,1,0,1
00394203,1,1,0,1
00395084,1,1,0,1
00395756,1,1,0,1
00396120,1,1,0,1
00396591,1,0,1,1
00396759,1,0,1,1
00397146,1,1,0,1
00397174,1,0,1,1
00398769,1,0,1,1
00398881,1,0,1,1
00399165,1,1,0,1
00399678,1,0,1,1
00399725,1,1,0,1
00401175,1,1,0,1
00401814,1,1,0,1
00401940,1,0,1,1
00402472,1,1,0,1
00402579,1,0,1,1
00403223,1,1,0,1
00403447,1,1,0,1
00403750,1,1,0,1
00404081,1,0,1,1
00405387,1,1,0,1
00405564,1,0,1,1
00405839,1,0,1,1
00407192,1,1,0,1
00407779,1,1,0,1
00407784,1,1,0,1
00408628,1,1,0,1
00410228,1,1,0,1
00410587,1,1,0,1
00410769,1,1,0,1
00411576,1,1,0,1
00412047,1,1,0,1
00412275,1,0,1,1
00412317,1,0,1,1
00412462,1,0,1,1
00412686,1,1,0,1
00413880,1,0,1,1
00414360,1,0,1,1
00414985,1,1,0,1
00415223,1,1,0,1
00415652,1,0,1,1
00415820,1,0,1,1
00415862,1,1,0,1
00416641,1,1,0,1
00416748,1,1,0,1
00417536,1,0,1,1
00417550,1,1,0,1
00417965,1,0,1,1
00418399,1,1,0,1
00418795,1,0,1,1
00419243,1,0,1,1
00419280,1,0,1,1
00419402,1,1,0,1
00420367,1,1,0,1
00420917,1,1,0,1
00421001,1,0,1,1
00421141,1,0,1,1
00423142,1,0,1,1
00423226,1,1,0,1
00423776,1,1,0,1
00424070,1,1,0,1
00424616,1,1,0,1
00425451,1,0,1,1
00426253,1,1,0,1
00428142,1,0,1,1
00428184,1,1,1,0
00428193,1,1,0,1
00428370,1,0,1,1
00429914,1,1,0,1
00430231,1,1,0,1
00430306,1,0,1,1
00430632,1,0,1,1
00431150,1,1,0,1
00431434,1,1,0,1
00432204,1,0,1,1
00432488,1,0,1,1
00433706,1,1,0,1
00434247,1,1,0,1
00434307,1,1,0,1
00434326,1,1,0,1
00435147,1,0,1,1
00435884,1,1,0,1
00436835,1,1,0,1
00437236,1,1,0,1
00437502,1,1,0,1
00438122,1,0,1,1
00439428,1,1,0,1
00439596,1,1,0,1
00440431,1,0,1,1
00441107,1,1,0,1
00441625,1,0,1,1
00443439,1,1,0,1
00443887,1,0,1,1
00444512,1,0,1,1
00445370,1,1,0,1
00445785,1,0,1,1
00446214,1,0,1,1
00446251,1,0,1,1
00447697,1,1,0,1
00448103,1,0,1,1
00449059,1,1,0,1
00449805,1,1,0,1
00449917,1,1,0,1
00450048,1,0,1,1
00450892,1,1,0,1
00452636,1,1,0,1
00454833,1,0,1,1
00455425,1,0,1,1
00456521,1,1,0,1
00457673,1,1,0,1
00457692,1,1,0,1
00458331,1,1,0,1
00458690,1,1,0,1
00458746,1,0,1,1
00459492,1,0,1,1
00459795,1,0,1,1
00460849,1,1,0,1
00461278,1,1,0,1
00461731,1,0,1,1
00463018,1,1,0,1
00463526,1,1,0,1
00463629,1,0,1,1
00463871,1,1,0,1
00464473,1,1,0,1
00465527,1,0,1,1
00465956,1,0,1,1
00466800,1,1,0,1
00466982,1,0,1,1
00468288,1,1,0,1
00468908,1,1,0,1
00471697,1,1,0,1
00472705,1,1,0,1
00472756,1,0,1,1
00472938,1,1,0,1
00473204,1,0,1,1
00474034,1,0,1,1
00474752,1,0,1,1
00475027,1,0,1,1
00475088,1,1,0,1
00475442,1,1,0,1
00475517,1,1,0,1
00475932,1,0,1,1
00476590,1,0,1,1
00476776,1,1,0,1
00477434,1,1,0,1
00477728,1,0,1,1
00477919,1,1,0,1
00478073,1,1,0,1
00479416,1,1,0,1
00479537,1,0,1,1
00479952,1,1,0,1
00481328,1,1,0,1
00481473,1,0,1,1
00482713,1,0,1,1
00482802,1,0,1,1
00483805,1,1,0,1
00484215,1,1,0,1
00485875,1,0,1,1
00485936,1,1,0,1
00486020,1,1,0,1
00486043,1,0,1,1
00486421,1,1,0,1
00487550,1,1,0,1
00490367,1,0,1,1
00491015,1,1,0,1
00492181,1,1,0,1
00492274,1,1,0,1
00492456,1,1,0,1
00492498,0,1,1,1
00492941,1,1,0,1
00493118,1,0,1,1
00493776,1,0,1,1
00493981,1,1,0,1
00494205,1,0,1,1
00494438,1,0,1,1
00494620,1,1,0,1
00494713,1,0,1,1
00495040,1,1,0,1
00495259,1,1,0,1
00495879,1,1,0,1
00496332,1,0,1,1
00496518,1,1,0,1
00496887,1,0,1,1
00497372,1,0,1,1
00497381,1,0,1,1
00497796,1,1,0,1
00498920,1,1,0,1
00499055,1,1,0,1
00499102,1,1,0,1
00499419,1,1,0,1
00499755,1,0,1,1
00501401,1,1,0,1
00502059,1,1,0,1
00503850,1,0,1,1
00505473,1,0,1,1
00506737,1,0,1,1
00508406,1,0,1,1
00509185,1,0,1,1
00510370,1,0,1,1
00511559,1,0,1,1
00511960,1,1,0,1
00512627,1,1,0,1
00512860,1,0,1,1
00513434,1,0,1,1
00513518,1,0,1,1
00514362,1,1,0,1
00514735,1,0,1,1
00516242,1,1,0,1
00517333,1,0,1,1
00518816,1,0,1,1
00521764,1,1,0,1
00522225,1,0,1,1
00523065,1,0,1,1
00523363,1,1,0,1
00523802,1,1,0,1
00523811,1,0,1,1
00523900,1,1,0,1
00525793,1,1,0,1
00526110,1,1,0,1
00528284,1,1,0,1
00531222,1,1,0,1
00531548,1,1,0,1
00532696,1,0,1,1
00534762,1,1,0,1
00536702,1,0,1,1
00538045,1,0,1,1
00539048,1,1,0,1
00541366,1,1,0,1
00541767,1,1,0,1
00542168,1,1,0,1
00542182,1,1,0,1
00544024,1,0,1,1
00547844,1,1,0,1
00548646,1,1,0,1
00548679,1,1,0,1
00548688,1,1,0,1
00549369,1,1,0,1
00550451,1,1,0,1
00550502,1,0,1,1
00553119,1,0,1,1
00553161,1,0,1,1
00553226,1,0,1,1
00554690,1,0,1,1
00554700,1,1,0,1
00558090,1,1,0,1
00559597,1,0,1,1
00561453,1,1,0,1
00561854,1,1,0,1
00562129,1,1,1,0
00564163,1,1,0,1
00566737,1,0,1,1
00567572,1,1,0,1
00567740,1,1,0,1
00568057,1,1,0,1
00570104,1,0,1,1
00572287,1,0,1,1
00573080,1,0,1,1
00573560,1,0,1,1
00573929,1,1,0,1
00574596,1,0,1,1
00576340,1,1,0,1
00576368,1,0,1,1
00577371,1,1,0,1
00577823,1,0,1,1
00579143,1,1,0,1
00579241,1,0,1,1
00582720,1,1,0,1
00585761,1,0,1,1
00586563,1,0,1,1
00586969,1,1,0,1
00588774,1,1,0,1
00590952,1,1,0,1
00594855,1,1,0,1
00594981,1,1,0,1
00596600,1,1,0,1
00597113,1,1,0,1
00597472,1,1,0,1
00599244,1,0,1,1
00599846,1,0,1,1
00600979,1,0,1,1
00601189,1,0,1,1
00603707,1,0,1,1
00603735,1,1,0,1
00604365,1,0,1,1
00605526,1,1,0,1
00605657,1,0,1,1
00606249,1,0,1,1
00607746,1,1,0,1
00608469,1,0,1,1
00615642,1,1,0,1
00617475,1,1,0,1
00617601,1,1,0,1
00619033,1,0,1,1
00619406,1,1,0,1
00620040,1,0,1,1
00624121,1,1,0,1
00624331,1,1,0,1
00624438,1,1,0,1
00624727,1,0,1,1
00626210,1,0,1,1
00628552,1,0,1,1
00628827,1,0,1,1
00629671,1,0,1,1
00630324,1,1,0,1
00630641,1,1,0,1
00631359,1,1,0,1
00631611,1,0,1,1
00633920,1,0,1,1
00634218,1,1,0,1
00635030,1,0,1,1
00636802,1,1,0,1
00637562,1,1,0,1
00639269,1,0,1,1
00641718,1,0,1,1
00641876,1,1,0,1
00642044,1,1,0,1
00644040,1,1,0,1
00645575,1,0,1,1
00645780,1,1,0,1
00647711,1,0,1,1
00648238,1,0,1,1
00648522,1,0,1,1
00648900,1,0,1,1
00650038,1,1,0,1
00650458,1,0,1,1
00651302,1,1,0,1
00651675,1,1,0,1
00651698,1,0,1,1
00652267,1,0,1,1
00652356,1,0,1,1
00654716,1,0,1,1
00656222,1,0,1,1
00657024,1,1,0,1
00657038,1,1,0,1
00658531,1,0,1,1
00658699,1,0,1,1
00659380,1,1,0,1
00659585,1,0,1,1
00660863,1,0,1,1
00661273,1,1,0,1
00661707,1,1,0,1
00661721,1,0,1,1
00663624,1,1,0,1
00665312,1,1,0,1
00666366,1,0,1,1
00668432,1,0,1,1
00669146,1,1,0,1
00669267,1,1,0,1
00669575,1,1,0,1
00669747,1,1,0,1
00670200,1,0,1,1
00672821,1,1,0,1
00674952,1,0,1,1
00676771,1,0,1,1
00677093,1,1,0,1
00677429,1,0,1,1
00677592,1,0,1,1
00678273,1,1,0,1
00679947,1,0,1,1
00680367,1,1,0,1
00680605,1,0,1,1
00681323,1,0,1,1
00681449,1,1,0,1
00681640,1,0,1,1
00682312,1,0,1,1
00683156,1,1,0,1
00684210,1,0,1,1
00684616,1,0,1,1
00685716,1,1,0,1
00685987,1,1,0,1
00686388,1,1,0,1
00686705,1,1,0,1
00687223,1,0,1,1
00689317,1,1,0,1
00692908,1,1,1,0
00693113,1,1,0,1
00693309,1,1,0,1
00693995,1,0,1,1
00694531,1,0,1,1
00695893,1,0,1,1
00696117,1,1,0,1
00696947,1,1,0,1
00697171,1,0,1,1
00698015,1,1,0,1
00698449,1,0,1,1
00698593,1,0,1,1
00699293,1,1,0,1
00699512,1,1,0,1
00699689,1,0,1,1
00699787,1,1,0,1
00700347,1,0,1,1
00701396,1,0,1,1
00701536,1,1,0,1
00701601,1,0,1,1
00702898,1,1,0,1
00704260,1,0,1,1
00704987,1,1,0,1
00706391,1,1,0,1
00707576,1,0,1,1
00708224,1,0,1,1
00708420,1,1,0,1
00710738,1,0,1,1
00711167,1,1,0,1
00712170,1,1,0,1
00712855,1,1,0,1
00712939,1,1,0,1
00713737,1,0,1,1
00714562,1,1,0,1
00714809,1,0,1,1
00715635,1,0,1,1
00715859,1,1,0,1
00717137,1,1,0,1
00717533,1,0,1,1
00719035,1,1,0,1
00719655,1,1,0,1
00720630,1,1,0,1
00722435,1,0,1,1
00723904,1,0,1,1
00725606,1,1,0,1
00725835,1,1,0,1
00725979,1,1,0,1
00726231,1,0,1,1
00726516,1,1,0,1
00729645,1,0,1,1
00730699,1,1,1,0
00731184,1,0,1,1
00731543,1,0,1,1
00732364,1,1,0,1
00732835,1,0,1,1
00734719,1,0,1,1
00735312,1,0,1,1
00735601,1,1,0,1
00736795,1,0,1,1
00736879,1,1,0,1
00737662,1,0,1,1
00737704,1,0,1,1
00737723,1,0,1,1
00740279,1,0,1,1
00741519,1,0,1,1
00742051,1,1,0,1
00742466,1,0,1,1
00743021,1,1,0,1
00743226,1,0,1,1
00744182,1,0,1,1
00744280,1,1,0,1
00744709,1,1,0,1
00745348,1,1,0,1
00747060,1,0,1,1
00748958,1,0,1,1
00749322,1,1,0,1
00750595,1,0,1,1
00751187,1,0,1,1
00751896,1,0,1,1
00753067,1,1,0,1
00753407,1,1,0,1
00754065,1,1,0,1
00755259,1,1,0,1
00755982,1,1,0,1
00756187,1,0,1,1
00757148,1,1,0,1
00757316,1,1,0,1
00757465,1,0,1,1
00759568,1,1,0,1
00760021,1,0,1,1
00760049,1,0,1,1
00760226,1,1,0,1
00761261,1,0,1,1
00761527,1,0,1,1
00761737,1,1,0,1
00762096,1,1,0,1
00763486,1,0,1,1
00766242,1,1,0,1
00766527,1,0,1,1
00768551,1,1,0,1
00769059,1,1,0,1
00771326,1,0,1,1
00772646,1,0,1,1
00773173,1,0,1,1
00775929,1,0,1,1
00776549,1,0,1,1
00777207,1,0,1,1
00777603,1,1,0,1
00778014,1,1,0,1
00778182,1,1,0,1
00779105,1,0,1,1
00779329,1,1,0,1
00779651,1,0,1,1
00779949,1,1,0,1
00780607,1,1,0,1
00781740,1,1,0,1
00782057,1,1,0,1
00785854,1,0,1,1
00786777,1,0,1,1
00788577,1,1,0,1
00788661,1,1,0,1
00789510,1,0,1,1
00790354,1,1,0,1
00790387,1,0,1,1
00790536,1,0,1,1
00790877,1,1,0,1
00791320,1,1,0,1
00791408,1,0,1,1
00793134,1,0,1,1
00794188,1,1,0,1
00794393,1,0,1,1
00794636,1,0,1,1
00796291,1,0,1,1
00797793,1,1,0,1
00798241,1,1,0,1
00798511,1,1,0,1
00799691,1,1,0,1
00800018,1,0,1,1
00800820,1,1,0,1
00801552,1,1,0,1
00804574,1,1,0,1
00805367,1,0,1,1
00805750,1,0,1,1
00806067,1,0,1,1
00806874,1,1,0,1
00806892,1,0,1,1
00806934,1,0,1,1
00808814,1,1,0,1
00809252,1,0,1,1
00810096,1,1,0,1
00810605,1,1,0,1
00811206,1,1,0,1
00811323,1,1,0,1
00813137,1,0,1,1
00813412,1,0,1,1
00817535,1,1,0,1
00817843,1,1,0,1
00819079,1,0,1,1
00820935,1,0,1,1
00821639,1,1,0,1
00824428,1,0,1,1
00826037,1,0,1,1
00826569,1,0,1,1
00828243,1,1,0,1
00829237,1,0,1,1
00829512,1,1,0,1
00829680,1,1,0,1
00831009,1,1,0,1
00831326,1,1,0,1
00832739,1,0,1,1
00833425,1,1,0,1
00835398,1,0,1,1
00836638,1,1,0,1
00837403,1,1,0,1
00837529,1,1,0,1
00837930,1,1,0,1
00839152,1,0,1,1
00841876,1,0,1,1
00842235,1,0,1,1
00844007,1,1,0,1
00844133,1,1,0,1
00846414,1,0,1,1
00849198,1,0,1,1
00849590,1,0,1,1
00850294,1,1,0,1
00850928,1,1,0,1
00851866,1,0,1,1
00852486,1,1,0,1
00853195,1,0,1,1
00858017,1,1,0,1
00860293,1,1,0,1
00861879,1,0,1,1
00862117,1,1,0,1
00863903,1,1,0,1
00864220,1,1,0,1
00864691,1,0,1,1
00866268,1,1,0,1
00867168,1,0,1,1
00867434,1,0,1,1
00868898,1,1,0,1
00870815,1,1,0,1
00871039,1,0,1,1
00873273,1,1,0,1
00873991,1,1,0,1
00875847,1,0,1,1
00879513,1,1,0,1
00879793,1,1,0,1
00881798,1,0,1,1
00883589,1,1,0,1
00884923,1,1,0,1
00886271,1,1,0,1
00887064,1,1,0,1
00890977,1,1,0,1
00893276,1,1,0,1
00894405,1,0,1,1
00895533,1,0,1,1
00895860,1,0,1,1
00896158,1,1,0,1
00899479,1,1,0,1
00899880,1,1,0,1
00901410,1,0,1,1
00901694,1,0,1,1
00902011,1,0,1,1
00902464,1,0,1,1
00904945,1,0,1,1
00911465,1,0,1,1
00912454,1,1,0,1
00912962,1,1,0,1
00913195,1,1,0,1
00913615,1,1,0,1
00913783,1,1,0,1
00916889,1,1,0,1
00917584,1,0,1,1
00917943,1,0,1,1
00918372,1,0,1,1
00920471,1,0,1,1
00923498,1,1,0,1
00924328,1,1,0,1
00924533,1,0,1,1
00924552,1,0,1,1
00924589,1,0,1,1
00925018,1,1,0,1
00926259,1,0,1,1
00928348,1,0,1,1
00929379,1,1,0,1
00930246,1,0,1,1
00931067,1,0,1,1
00936421,1,1,0,1
00937270,1,0,1,1
00937587,1,0,1,1
00937797,1,0,1,1
00938562,1,0,1,1
00941514,1,1,0,1
00942307,1,1,0,1
00942461,1,1,0,1
00942601,1,1,0,1
00942862,1,1,0,1
00943016,1,0,1,1
00943762,1,0,1,1
00943860,1,1,0,1
00944275,1,0,1,1
00944914,1,0,1,1
00946001,1,0,1,1
00946607,1,1,0,1
00947656,1,1,0,1
00948090,1,0,1,1
00948953,1,1,0,1
00948981,1,1,0,1
00949065,1,1,0,1
00949163,1,0,1,1
00950282,1,1,0,1
00950688,1,0,1,1
00950753,1,0,1,1
00952777,1,1,0,1
00954475,1,1,0,1
00954871,1,0,1,1
00954904,1,1,0,1
00955165,1,0,1,1
00955226,1,1,0,1
00955543,1,1,0,1
00957758,1,0,1,1
00959153,1,0,1,1
00959227,1,1,0,1
00959787,1,1,0,1
00959890,1,0,1,1
00960860,1,0,1,1
00961704,1,1,0,1
00961830,1,1,0,1
